Month,articleID,abstract,byline,documentType,headline,keywords,multimedia,newDesk,printPage,pubDate,Month,source,typeOfMaterial,webURL,articleWordCount
Jan-17,58691a5795d0e039260788b9,,By JENNIFER STEINHAUER,article,G.O.P. Leadership Poised to Topple Obama’s Pillars,"['United States Politics and Government', 'Law and Legislation', 'House of Representatives', 'Senate', 'Patient Protection and Affordable Care Act (2010)', 'Trump, Donald J', 'McConnell, Mitch']",1,National,1,1/1/17 15:03,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/01/us/politics/with-new-congress-poised-to-convene-obamas-policies-are-in-peril.html,1324
Jan-17,586967bf95d0e03926078915,,By MARK LANDLER,article,Fractured World Tested the Hope of a Young President,"['Obama, Barack', 'Afghanistan', 'United States Defense and Military Forces', 'Afghanistan War (2001-14)']",1,Foreign,1,1/1/17 20:34,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/01/world/asia/obama-afghanistan-war.html,2836
Jan-17,58698a1095d0e0392607894a,,By CAITLIN LOVINGER,article,Little Troublemakers,"['Crossword Puzzles', 'Boxing Day', 'Holidays and Special Occasions']",1,Games,0,1/1/17 23:00,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/01/crosswords/little-troublemakers.html,445
Jan-17,5869911a95d0e0392607894e,,By JOCHEN BITTNER,article,"Angela Merkel, Russia’s Next Target","['Cyberwarfare and Defense', 'Presidential Election of 2016', 'Merkel, Angela', 'Putin, Vladimir V']",1,OpEd,15,1/1/17 23:30,Jan-17,The New York Times,Op-Ed,https://www.nytimes.com/2017/01/01/opinion/angela-merkel-russias-next-target.html,864
Jan-17,5869a61795d0e03926078962,,By JIAYIN SHEN,article,Boots for a Stranger on a Bus,"['Shoes and Boots', 'Buses', 'New York City']",0,Metro,12,1/2/17 1:00,Jan-17,The New York Times,Brief,https://www.nytimes.com/2017/01/01/nyregion/metropolitan-diary-giving-boots-to-a-stranger-on-a-bus.html,309
Jan-17,5869afd495d0e0392607896c,,By MICHAEL POWELL,article,"Molder of Navajo Youth, Where a Game Is Sacred","['Coaches and Managers', 'Education (K-12)', 'Navajo Indians', 'Interscholastic Athletics', 'Arizona', 'Mendoza, Raul (1947- )', 'Chinle (Ariz)']",1,Sports,1,1/2/17 1:41,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/01/sports/basketball/navajo-nation-raul-mendoza-arizona.html,2180
Jan-17,5869d08f95d0e03926078980,,By MIKE HALE,article,"‘The Affair’ Season 3, Episode 6: Noah Goes Home","['Television', 'The Affair (TV Program)']",1,Culture,0,1/2/17 4:01,Jan-17,The New York Times,Review,https://www.nytimes.com/2017/01/01/arts/television/the-affair-season-3-episode-6-recap.html,1146
Jan-17,586a0d8795d0e039260789b3,,By THE EDITORIAL BOARD,article,Sprint and Mr. Trump’s Fictional Jobs,"['Trump, Donald J', 'Son, Masayoshi', 'Wireless Communications', 'SOFTBANK Corporation', 'Sprint Nextel Corporation', 'Labor and Jobs', 'United States Politics and Government', 'Carrier Corp']",1,Editorial,14,1/2/17 8:21,Jan-17,The New York Times,Editorial,https://www.nytimes.com/2017/01/02/opinion/why-corporations-are-helping-donald-trump-lie-about-jobs.html,557
Jan-17,586a0d8795d0e039260789b6,,By PAUL KRUGMAN,article,America  Becomes a Stan,"['Trump, Donald J', 'United States Politics and Government', 'Ethics and Official Misconduct', 'Corruption (Institutional)', 'Conflicts of Interest', 'Appointments and Executive Changes', 'Democracy (Theory and Philosophy)', 'Comey, James B']",1,OpEd,15,1/2/17 8:21,Jan-17,The New York Times,Op-Ed,https://www.nytimes.com/2017/01/02/opinion/america-becomes-a-stan.html,784
Jan-17,586a32f495d0e039260789f3,,By JANE E. BRODY,article,"Fighting Diabetes, and Leading by Example","['Adams, Eric L', 'Diabetes', 'Diet and Nutrition', 'Exercise', 'Obesity', 'Veganism']",1,Science,5,1/2/17 11:01,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/02/well/an-inspiring-story-of-weight-loss-and-its-aftermath.html,1109
Jan-17,586a4a2a95d0e03926078a0f,,By VANESSA PIAO,article,Chinese Court Says ‘Mr. C’ Was Fired Unjustifiably,"['Transgender and Transsexuals', 'Mr C', 'Discrimination', 'Suits and Litigation (Civil)', 'Guizhou (China)', 'China']",1,Foreign,10,1/2/17 12:40,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/02/world/asia/china-transgender-lawsuit.html,533
